FrameId	type	name	sense
1071	name	People_by_vocation	career.n.01
1071	FE	Origin	origin.n.02
1071	FE	Person	person.n.01
1071	FE	Persistent_characteristic	characteristic.n.02
1071	FE	Descriptor	condition.n.01
1071	FE	Age	age.n.01
1071	FE	Ethnicity	ethnicity.n.01
1071	FE	Context_of_acquaintance	acquaintance.n.01
1071	FE	Contract_basis	article.n.03
1071	FE	Rank	social_station.n.01
1071	FE	Place_of_employment	workplace.n.01
1071	FE	Employer	employer.n.01
1071	FE	Type	character.n.05
1071	FE	Compensation	recompense.n.02
1071	LU	politician.n	politician.n.02
1071	LU	farmer.n	farmer.n.01
1071	LU	attendant.n	attendant.n.01
1071	LU	clerk.n	clerk.n.01
1071	LU	consultant.n	adviser.n.01
1071	LU	gardener.n	gardener.n.01
1071	LU	lawyer.n	lawyer.n.01
1071	LU	maid.n	maid.n.01
1071	LU	manager.n	director.n.01
1071	LU	professor.n	professor.n.01
1071	LU	receptionist.n	receptionist.n.01
1071	LU	salesman.n	salesman.n.01
1071	LU	servant.n	servant.n.01
1071	LU	waiter.n	waiter.n.01
1071	LU	carpenter.n	carpenter.n.01
1071	LU	scientist.n	scientist.n.01
1071	LU	private_eye.n	private_detective.n.01
1071	LU	actress.n	actress.n.01
1071	LU	waitress.n	waitress.n.01
1071	LU	technician.n	technician.n.01
1071	LU	toxicologist.n	toxicologist.n.01
1071	LU	engineer.n	engineer.n.01
1071	LU	double_agent.n	double_agent.n.01
1071	LU	researcher.n	research_worker.n.01
1071	LU	archaeologist.n	archeologist.n.01
1071	LU	professional.a	professional.a.02
1071	LU	agent.n	agent.n.02
1071	LU	journalist.n	journalist.n.01
1071	LU	judge.n	judge.n.01
1071	LU	mechanic.n	machinist.n.01
1071	LU	oilman.n	oilman.n.01
1071	LU	reporter.n	reporter.n.01
1071	LU	scholar.n	scholar.n.01
1071	LU	veterinarian.n	veterinarian.n.01
1071	LU	trader.n	trader.n.01
1071	LU	mole.n	counterspy.n.01
1071	LU	spy.n	spy.n.01
1071	LU	businessperson.n	businessperson.n.01
1071	LU	speculator.n	speculator.n.02
1071	LU	architect.n	architect.n.01
1071	LU	plain-clothes_man.n	officer.n.04'
1071	LU	magistrate.n	magistrate.n.01
1071	LU	officer.n	officer.n.04
1071	LU	police_officer.n	policeman.n.01
1071	LU	spokesperson.n	spokesperson.n.01
1071	LU	spokesman.n	spokesman.n.01
1071	LU	spokeswoman.n	spokeswoman.n.01
1071	LU	policeman.n	policeman.n.01
1071	LU	bodyguard.n	bodyguard.n.01
1071	LU	police.n	police.n.01
1071	LU	tailor.n	tailor.n.01
1071	LU	correspondent.n	correspondent.n.02
1071	LU	cook.n	cook.n.01
1071	LU	manservant.n	manservant.n.01
1071	LU	senator.n	senator.n.01
1071	LU	attorney.n	lawyer.n.01
1071	LU	athlete.n	athlete.n.01
1071	LU	chef.n	chef.n.01
1071	LU	bartender.n	bartender.n.01
1071	LU	teacher.n	teacher.n.01
1071	LU	pilot.n	pilot.n.01
1071	LU	flight_attendant.n	steward.n.03
1071	LU	server.n	waiter.n.01
1071	LU	software_developer.n	programmer.n.01
1071	LU	web_developer.n	programmer.n.01
