FrameId	type	name	sense
1071	name	People_by_vocation	career.n.01
1071	FE	Origin	origin.n.02
1071	FE	Person	person.n.01
1071	FE	Persistent_characteristic	characteristic.n.02
1071	FE	Descriptor	condition.n.01
1071	FE	Age	age.n.01
1071	FE	Ethnicity	ethnicity.n.01
1071	FE	Context_of_acquaintance	acquaintance.n.01
1071	FE	Rank	social_station.n.01
1071	FE	Place_of_employment	workplace.n.01
1071	FE	Employer	employer.n.01
1071	FE	Type	character.n.05
1071	FE	Compensation	recompense.n.02
1071	LU	politician	politician.np.02
1071	LU	farmer	farmer.n.01
1071	LU	attendant	attendant.n.01
1071	LU	clerk	clerk.n.01
1071	LU	consultant	adviser.n.01
1071	LU	gardener	gardener.n.02
1071	LU	lawyer	lawyer.n.01
1071	LU	maid	maid.n.01
1071	LU	manager	director.n.01
1071	LU	professor	professor.n.01
1071	LU	receptionist	receptionist.n.01
1071	LU	salesman salesman.n.01
1071	LU	servant servant.n.01
1071	LU	waiter	waiter.n.01
1071	LU	carpenter	carpenter.n.01
1071	LU	scientist	scientist.n.01
1071	LU	private_eye	private_detective.n.01
1071	LU	actress	actress.n.01
1071	LU	waitress	waitress.n.01
1071	LU	technician	technician.n.01
1071	LU	toxicologist	toxicologist.n.01
1071	LU	engineer	engineer.n.01
1071	LU	double_agent	double_agent.n.01
1071	LU	researcher	research_worker.n.01
1071	LU	archaeologist	archeologist.n.01
1071	LU	professional	professional.a.04
1071	LU	agent	agent.n.02
1071	LU	journalist	journalist.n.01
1071	LU	judge	judge.n.01
1071	LU	mechanic	machinist.n.01
1071	LU	oilman oilman.n.01
1071	LU	reporter	reporter.n.01
1071	LU	scholar	scholar.n.01
1071	LU	veterinarian	veterinarian.n.01
1071	LU	trader	trader.n.01
1071	LU	mole	counterspy.n.01
1071	LU	spy spy.n.01
1071	LU	businessperson	businessperson.n.01
1071	LU	speculator	speculator.n.02
1071	LU	architect	architect.n.01
1071	LU	plain-clothes_man	officer.n.04'
1071	LU	magistrate	magistrate.n.01
1071	LU	officer	officer.n.04
1071	LU	police_officer	policeman.n.01
1071	LU	spokesperson	spokesperson.n.01
1071	LU	spokesman	spokesman.n.01
1071	LU	spokeswoman	spokeswoman.n.01
1071	LU	policeman	policeman.n.01
1071	LU	bodyguard	bodyguard.n.01
1071	LU	police police.n.01
1071	LU	tailor	tailor.n.01
1071	LU	correspondent	correspondent.n.02
1071	LU	cook	cook.n.01
1071	LU	manservant	manservant.n.01
1071	LU	senator	senator.n.01
1071	LU	attorney	lawyer.n.01
1071	LU	athlete	athlete.n.01
1071	LU	chef	chef.n.01
1071	LU	bartender	bartender.n.01
1071	LU	teacher	teacher.n.01
1071	LU	pilot pilot.n.01
1071	LU	flight_attendant	steward.n.03
1071	LU	server	waiter.n.01
1071	LU	software_developer	programmer.n.01
1071	LU	web_developer programmer.n.01
1071	LU	saleswoman	salesgirl.n.01
1071	LU	salesperson	salesperson.n.01
1071	LU	homemaker	housewife.n.01
1071	LU	student	student.n.01
1071	LU	artist	artist.n.01
1071	LU	musician	musician.n.01
1071	LU	singer	singer.n.01
1071	LU	painter	painter.n.01
1071	LU	dancer dancer.n.01
